Top,Pt,Pd,Fe,Co,Ni,Cu,Ru,Rh,Ag,Au,Label (*),r (*),d-band center (*),Bader (*),E_ads
6,3,2,0,1,0,0,0,0,0,4,4,1.52,-1.218,0.508693,-0.638479
7,1,5,0,1,0,0,0,0,0,3,2,1.69,-1.8262,-0.015206,-0.391749
8,2,3,0,2,0,0,1,0,0,2,10,1.74,-3.2798,-0.205552,-0.253919
9,1,3,0,2,0,0,2,0,0,2,2,1.69,-2.1081,-0.104111,-0.435709
1,0,3,0,0,2,0,1,0,0,4,10,1.74,-3.2306,-0.190176,-0.323749
2,1,3,0,0,1,0,2,0,0,3,7,1.78,-1.1113,0.262554,-0.658499
3,2,3,0,0,1,0,2,0,0,2,10,1.74,-3.1386,-0.176866,-0.262779
4,1,4,0,0,2,0,1,0,0,2,2,1.69,-1.7738,-0.05913,-0.411719
5,2,4,0,0,1,0,1,0,0,2,1,1.77,-2.0467,-0.221918,-0.326909
6,3,2,0,0,1,0,0,0,0,4,5,1.49,-0.8698,0.32723,-0.604299
7,1,5,0,0,1,0,0,0,0,3,2,1.69,-1.7148,0.006708,-0.435399
8,2,3,0,0,2,0,1,0,0,2,10,1.74,-3.1101,-0.176725,-0.276539
9,1,3,0,0,2,0,2,0,0,2,2,1.69,-2.0073,-0.076336,-0.482279
1,0,3,4,0,0,2,1,0,0,0,3,1.56,-0.9938,0.368998,-0.574009
2,1,3,3,0,0,1,2,0,0,0,7,1.78,-1.0247,-0.068095,-0.657929
3,2,3,2,0,0,1,2,0,0,0,3,1.56,-1.1617,0.511289,-0.636599
4,1,4,2,0,0,2,1,0,0,0,2,1.69,-2.0406,-0.260462,-0.343339
5,2,4,2,0,0,1,1,0,0,0,1,1.77,-2.1025,-0.489678,-0.317119
6,3,2,4,0,0,1,0,0,0,0,6,1.45,-2.1864,0.084649,-0.415059
7,1,5,3,0,0,1,0,0,0,0,2,1.69,-1.95,-0.279078,-0.466889
8,2,3,2,0,0,2,1,0,0,0,3,1.56,-1.1013,0.504013,-0.687119
9,1,3,2,0,0,2,2,0,0,0,2,1.69,-2.1395,-0.266436,-0.409039
1,0,3,0,4,0,2,1,0,0,0,4,1.52,-1.2131,0.202166,-0.540659
2,1,3,0,3,0,1,2,0,0,0,7,1.78,-1.0182,0.05048,-0.679199
3,2,3,0,2,0,1,2,0,0,0,4,1.52,-1.1799,0.305392,-0.599509
4,1,4,0,2,0,2,1,0,0,0,2,1.69,-1.9694,-0.205508,-0.389839
5,2,4,0,2,0,1,1,0,0,0,1,1.77,-2.0159,-0.424605,-0.335239
6,3,2,0,4,0,1,0,0,0,0,6,1.45,-2.0599,0.14963,-0.423259
7,1,5,0,3,0,1,0,0,0,0,2,1.69,-1.8159,-0.195317,-0.460479
8,2,3,0,2,0,2,1,0,0,0,4,1.52,-1.1992,0.311841,-0.671519
9,1,3,0,2,0,2,2,0,0,0,2,1.69,-2.0833,-0.221367,-0.397659
1,0,3,0,0,4,2,1,0,0,0,5,1.49,-0.9167,0.07249,-0.508859
2,1,3,0,0,3,1,2,0,0,0,7,1.78,-1.1327,0.121737,-0.685039
3,2,3,0,0,2,1,2,0,0,0,5,1.49,-1.0008,0.145197,-0.621539
4,1,4,0,0,2,2,1,0,0,0,2,1.69,-1.7531,-0.174607,-0.404329
5,2,4,0,0,2,1,1,0,0,0,1,1.77,-1.857,-0.365424,-0.362089
6,3,2,0,0,4,1,0,0,0,0,6,1.45,-1.8712,0.193078,-0.473119
7,1,5,0,0,3,1,0,0,0,0,2,1.69,-1.6751,-0.141291,-0.470539
8,2,3,0,0,2,2,1,0,0,0,5,1.49,-0.8915,0.15347,-0.540999
9,1,3,0,0,2,2,2,0,0,0,2,1.69,-2.0332,-0.163869,-0.479369
1,0,3,0,2,0,0,0,1,4,0,9,1.65,-3.5351,0.014396,-0.763359
2,1,3,0,1,0,0,0,2,3,0,8,1.73,-1.2343,-0.075531,-0.979699
3,2,3,0,1,0,0,0,2,2,0,9,1.65,-3.4785,0.071727,-0.364419
4,1,4,0,2,0,0,0,1,2,0,2,1.69,-1.7194,-0.143812,-0.868219
5,2,4,0,1,0,0,0,1,2,0,1,1.77,-1.911,-0.311461,-0.778909
6,3,2,0,1,0,0,0,0,4,0,4,1.52,-1.2072,0.421637,-1.062849
7,1,5,0,1,0,0,0,0,3,0,2,1.69,-1.7095,-0.112739,-0.884349
8,2,3,0,2,0,0,0,1,2,0,9,1.65,-3.5059,0.067547,-0.309529
9,1,3,0,2,0,0,0,2,2,0,2,1.69,-1.925,-0.13737,-0.868549
1,0,3,0,4,2,0,0,1,0,0,4,1.52,-1.2982,0.24322,-0.555859
2,1,3,0,3,1,0,0,2,0,0,8,1.73,-1.3888,-0.120016,-0.576049
3,2,3,0,2,1,0,0,2,0,0,4,1.52,-1.2233,0.342765,-0.600109
4,1,4,0,2,2,0,0,1,0,0,2,1.69,-1.9708,-0.180566,-0.364969
5,2,4,0,2,1,0,0,1,0,0,1,1.77,-1.9846,-0.406634,-0.344189
6,3,2,0,4,1,0,0,0,0,0,5,1.49,-1.2217,0.145852,-0.523889
7,1,5,0,3,1,0,0,0,0,0,2,1.69,-1.8311,-0.190123,-0.391269
8,2,3,0,2,2,0,0,1,0,0,4,1.52,-1.2557,0.352117,-0.624479
9,1,3,0,2,2,0,0,2,0,0,2,1.69,-1.9475,-0.174832,-0.407629
1,0,3,0,0,4,2,0,1,0,0,5,1.49,-0.8287,0.119514,-0.539909
2,1,3,0,0,3,1,0,2,0,0,8,1.73,-1.2145,-0.063891,-0.508789
3,2,3,0,0,2,1,0,2,0,0,5,1.49,-0.8844,0.190469,-0.592169
4,1,4,0,0,2,2,0,1,0,0,2,1.69,-1.6766,-0.150607,-0.418039
5,2,4,0,0,2,1,0,1,0,0,1,1.77,-1.7806,-0.345078,-0.390409
6,3,2,0,0,4,1,0,0,0,0,6,1.45,-1.812,0.19928,-0.469559
7,1,5,0,0,3,1,0,0,0,0,2,1.69,-1.6104,-0.140213,-0.263379
8,2,3,0,0,2,2,0,1,0,0,5,1.49,-0.8484,0.193778,-0.556789
9,1,3,0,0,2,2,0,2,0,0,2,1.69,-1.8316,-0.138122,-0.473469
1,0,3,4,0,2,0,0,0,1,0,3,1.56,-1.0447,0.373202,-0.500539
2,1,3,3,0,1,0,0,0,2,0,9,1.65,-3.6561,-0.070836,-0.342569
3,2,3,2,0,1,0,0,0,2,0,3,1.56,-1.18,0.497187,-0.587259
4,1,4,2,0,2,0,0,0,1,0,2,1.69,-1.9301,-0.236078,-0.393719
5,2,4,2,0,1,0,0,0,1,0,1,1.77,-1.9904,-0.495839,-0.317559
6,3,2,4,0,1,0,0,0,0,0,5,1.49,-1.265,0.039491,-0.714059
7,1,5,3,0,1,0,0,0,0,0,2,1.69,-1.868,-0.286654,-0.475319
8,2,3,2,0,2,0,0,0,1,0,3,1.56,-1.2414,0.568874,-0.661039
9,1,3,2,0,2,0,0,0,2,0,2,1.69,-1.7873,-0.243403,-0.449329
